שם_מלא	טלפון	דירה	הערה
גדעון אלחדד	0531234579	79	
תפארת רומנו	0541234580	80	
ארנון רז	0551234581	81	
זהבה מיארה	0521234582	82	
מנחם שרעבי	0501234583	83	airbnb - לא תמידי
יפה גבע	0531234584	84	
פרץ אוסמו	0541234585	85	
רויטל חנוך	0581234586	86	
ישראל בן-חיים	0501234587	87	
אסתר ביאליק	0521234588	88	
יהודה שושן	0531234589	89	
שושנה חורי	0541234590	90	
ברכה מסיקה	0551234591	91	
אברהם תורג'מן	0521234592	92	שכן מתלונן תכוף
חיים בן-זקן	0501234593	93	
פאני גרשוביץ	0531234594	94	
שלום דיין	0541234595	95	
מזל לוזון	0581234596	96	
טוביה נחום	0501234597	97	
ריקי פרנקל	0521234598	98	
גבריאל סבג	0531234599	99	
זיוה חנניה	0541234600	100	דיירת ותיקה - 20 שנה בבניין
ניסים אלמליח	0551234601	101	
רינה בנימין	0521234602	102	
אמנון ביבי	0501234603	103	
חגית שגיא	0531234604	104	
מרדכי קורן	0541234605	105	משפחה עם ילדים קטנים
דבורה יונה	0581234606	106	
אלחנן ספיר	0501234607	107	
יהודית זהר	0521234608	108	
עוזי קמחי	0531234609	109	
מירי לוגסי	0541234610	110	
אביגיל בירן	0551234611	111	
שלמה מכלוף	0521234612	112	
ענת שפר	0501234613	113	עובדת מהבית - זמינה רוב היום
רפאל בוסקילה	0531234614	114	
אורנה מימון	0541234615	115	
פנחס חזן	0581234616	116	
יפית בכר	0501234617	117	
עמוס בן-נון	0521234618	118	
בתיה קדוש	0531234619	119	
דוד אלגרבלי	0541234620	120	קבלן - לא דייר קבוע
חנה גאון	0551234621	121	
אריאל ורד	0521234622	122	
ורד שלושה	0501234623	123	
מתן כחלון	0531234624	124	
סמדר נסים	0541234625	125	
גיל מנור	0581234626	126	
נטע פז	0501234627	127	
טלי גרשון	0521234628	128	
אמיר אמסלם	0531234629	129	
שני שמש	0541234630	130	
ליאור בן-ארי	0551234631	131	
נופר בר-אל	0521234632	132	
אוהד ניסנוב	0501234633	133	שפה עיקרית: רוסית
גוני גבע	0531234634	134	
ענבל כהן	0541234635	135	
נדב פרחי	0581234636	136	עורך דין - יש לתקשר בכתב בלבד
שקד לוי	0501234637	137	
ליאל מזרחי	0521234638	138	
מור אלבז	0531234639	139	
תום שגיא	0541234640	140	
יובל קריף	0551234641	141	
נועם ויסמן	0521234642	142	
רז עמרם	0501234643	143	
שיר אוחיון	0531234644	144	
אגם לוינסקי	0541234645	145	
אלמוג שמאי	0581234646	146	
ליבי אוסטרובסקי	0501234647	147	
אורי פרץ	0521234648	148	
מאיה בן-דוד	0531234649	149	
ניב חסון	0541234650	150	דייר חדש - עזר להעביר ריהוט בכניסה
